bird_scientific,bird_english,bird_swedish,family_scientific,family_english,family_swedish,order_scientific,order_english,order_swedish,bird_details,bird_population
Anas rubripes,American Black Duck,svartand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T***,8
Anas acuta,Northern Pintail,stjärtand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4 / (V),4
Anas crecca,Eurasian Teal,kricka,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf (V) 3,3
Anas carolinensis,Green-winged Teal,amerikansk kricka,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T*,6
Netta rufina,Red-crested Pochard,rödhuvad dykand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T**,7
Aythya ferina,Common Pochard,brunand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4 / F 3 / (V),3
Aythya nyroca,Ferruginous Duck,vitögd dykand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T**,7
Aythya collaris,Ring-necked Duck,ringand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T**,7
Aythya fuligula,Tufted Duck,vigg,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 3 / V 3,3
Aythya marila,Greater Scaup,bergand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4,4
Aythya affinis,Lesser Scaup,mindre bergand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T***,8
Polysticta stelleri,Steller's Eider,alförrädare,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T* / V 5,5
Somateria spectabilis,King Eider,praktejder,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T* / F 5,5
Somateria mollissima,Common Eider,ejder,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 2 / F / V,2
Histrionicus histrionicus,Harlequin Duck,strömand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T***,8
Melanitta perspicillata,Surf Scoter,vitnackad svärta,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T**,7
Melanitta fusca,Velvet Scoter,svärta,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 3 / F / (V),3
Melanitta deglandi,White-winged Scoter,amerikansk knölsvärta,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,-,nil
Melanitta stejnegeri,Stejneger's Scoter,sibirisk knölsvärta,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,-,nil
Melanitta nigra,Common Scoter,sjöorre,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4 / F 3 / (V),3
Melanitta americana,Black Scoter,amerikansk sjöorre,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,T***,8
Clangula hyemalis,Long-tailed Duck,alfågel,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4 / V 2,2
Bucephala albeola,Bufflehead,buffelhuvud,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,[T***],8
Bucephala clangula,Common Goldeneye,knipa,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hs+f 3 / V,3
Mergellus albellus,Smew,salskrake,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 4-5,4
Lophodytes cucullatus,Hooded Merganser,kamskrake,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,[T**],7
Mergus merganser,Common Merganser,storskrake,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 3 / V,3
Mergus serrator,Red-breasted Merganser,småskrake,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,Hf 3 / V,3
Oxyura jamaicensis,Ruddy Duck,amerikansk kopparand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,[T**],7
Oxyura leucocephala,White-headed Duck,kopparand,Anatidae,"Ducks, Geese and Swans",Änder,ANSERIFORMES,Waterfowl,ANDFÅGLAR,-,nil
Tetrastes bonasia,Hazel Grouse,järpe,Phasianidae,Pheasants and allies,Fasanfåglar,GALLIFORMES,Landfowl,HÖNSFÅGLAR,Hs 3,3
Tetrao urogallus,Western Capercaillie,tjäder,Phasianidae,Pheasants and allies,Fasanfåglar,GALLIFORMES,Landfowl,HÖNSFÅGLAR,Hs 3,3
