order_scientific,order_english
Anseriformes,Waterfowl
Galliformes,Landfowl
Caprimulgiformes,Nightjars
Apodiformes,Swifts
Otidiformes,Bustards
Cuculiformes,Cuckoos
Pterocliformes,Sandgrouse
Columbiformes,Pigeons and Doves
Gruiformes,Marshbirds
Podicipediformes,Grebes
Phoenicopteriformes,Flamingos
Charadriiformes,Shorebirds
Gaviiformes,Loons
Procellariiformes,Tube-nosed seabirds
Ciconiiformes,Storks
Suliformes,Totipalmate water and diving birds
Pelecaniformes,Pelicans and relatives
Accipitriformes,Raptors
Strigiformes,Owls
Bucerotiformes,Hoopoes
Coraciiformes,Kingfishers and allies
Piciformes,Woodpeckers and allies
Falconiformes,Falcons
Passeriformes,Perching birds
